id,time,day
MT1,08:40 - 10:15,Monday
MT2,10:35 - 12:10,Monday
MT3,12:20 - 13:55,Monday
MT4,08:40 - 10:15,Tuesday
MT5,10:35 - 12:10,Tuesday
MT6,12:20 - 13:55,Tuesday
MT7,08:40 - 10:15,Wednesday
MT8,10:35 - 12:10,Wednesday
MT9,12:20 - 13:55,Wednesday
MT10,08:40 - 10:15,Thursday
MT11,10:35 - 12:10,Thursday
MT12,12:20 - 13:55,Thursday
MT13,08:40 - 10:15,Friday
MT14,10:35 - 12:10,Friday
MT15,12:20 - 13:55,Friday
MT16,14:05 - 15:40,Monday
MT17,14:05 - 15:40,Tuesday
MT18,14:05 - 15:40,Wednesday
MT19,14:05 - 15:40,Thursday
MT20,14:05 - 15:40,Friday